Chemical Amount (g),Distance Lowered (um),Cutoff Voltage (V),Pass,Radius (nm),,,
7.4,100,2,Yes,230,,,
7.4,100,2,Yes,450,,,
7.4,100,2,No,665,,,
7.4,100,2,Yes,500,,,
7.4,100,2,Yes,325,,,
7.4,100,2,Yes,460,,,
7.4,100,2,No,,,,
7.4,100,2,No,,,,
7.4,100,2,No,,,,
7.4,100,2,Yes,500,,,
7.4,100,2,Yes,800,,,
7.4,100,2,Yes,500,,,
7.4,100,2.5,Yes,200,,,
7.4,100,2.5,Yes,665,,,
7.4,100,2.5,Yes,457,,,
7.4,100,2.5,Yes,500,,,
7.4,75,2,Yes,500,,,
7.4,75,2,Yes,665,,,
7.4,75,2,Yes,665,,,
7.4,75,2,Yes,910,,,
7.4,75,1.5,Yes,325,,,
7.4,75,1.5,Yes,400,,,
7.4,75,1.5,Yes,320,,,
7.4,75,1.5,Yes,120,,,
7.4,75,1.5,Yes,300,,,
7.4,75,1.5,Yes,260,,,
7.4,75,1.5,Yes,406,,,
7.4,75,1.5,Yes,722,,,
7.4,75,1.5,Yes,1083,,,
7.4,75,1.5,Yes,722,,,
7.4,75,1.5,Yes,500,,,
7.4,75,1.5,Yes,722,,,
7.4,75,1.5,Yes,541,,,
7.4,75,1.5,Yes,370,,,
7.4,75,1.5,Yes,632,,,
7.4,75,1.5,Yes,587,,,
7.4,75,1.5,Yes,587,,,
7.4,75,1.5,Yes,541,,,
7.4,75,2,Yes,1083,,,
7.4,75,2,Yes,1700,,,
7.4,75,2,Yes,903,,,
7.4,75,2,Yes,632,,,
7.4,75,2,Yes,541,,,
7.4,75,2,Yes,677,,,
7.4,75,2,Yes,632,,,
7.4,75,2,Yes,1200,,,
7.4,75,2,Yes,722,,,
7.4,75,2,Yes,722,,,
7.4,75,2,Yes,722,,,
7.4,75,2,Yes,722,,,
7.4,75,2,Yes,722,,,
7.4,75,2,Yes,722,,,
7.4,75,2,Yes,660,,,
7.4,75,2,Yes,3000,,,
7.4,75,2,Yes,950,,,
7.4,75,2,Yes,812,,,
7.4,75,2,Yes,812,,,
7.4,75,2,Yes,768,,,
7.4,75,2,Yes,903,,,
7.4,75,2,Yes,722,,,
7.4,75,2,Yes,1083,,,
7.4,75,2,Yes,858,,,
7.4,75,2,Yes,2348,,,
7.4,75,2,Yes,1128,,,
7.4,75,2,Yes,812,,,
7.4,75,2,Yes,857,,,
7.4,75,2,Yes,1083,,,
7.4,75,2,Yes,1535,,,
7.4,75,2,Yes,903,,,
7.4,75,2,Yes,722,,,
7.4,75,2,Yes,858,,,
7.4,75,2,Yes,1174,,,
7.4,75,2,Yes,903,,,
7.4,75,2,Yes,948,,,
7.4,75,2,Yes,632,,,
7.4,75,2,Yes,451,,,
7.4,75,2,Yes,903,,,
7.4,75,2,Yes,812,,,
7.4,75,2,Yes,593,,,
7.4,75,2,Yes,1128,,,
7.4,75,2,Yes,1174,,,
7.4,75,2,Yes,1174,,,
7.4,75,2,Yes,1216,,,
7.4,75,2,Yes,1174,,,
7.4,75,2,Yes,1083,,,
7.4,75,2,Yes,993,,,
7.4,150,1.5,Yes,175,,,
7.4,150,1.5,Yes,158,,,
7.4,150,1.5,No,,,,
7.4,150,1.5,No,,,,
7.4,150,1.5,No,,,,
7.4,150,1.5,No,,,,
7.4,150,1.5,No,,,,
